1,0,7,年,0,5,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/05/02,"17,540,198","254,566,679",14.45,14.60,14.45,14.50,+0.05,"3,637"
107/05/03,"11,225,296","161,755,628",14.50,14.50,14.35,14.35,-0.15,"3,141"
107/05/04,"10,699,701","153,430,118",14.30,14.40,14.30,14.35, 0.00,"2,506"
107/05/07,"9,195,226","132,350,850",14.40,14.45,14.35,14.45,+0.10,"2,197"
107/05/08,"16,229,902","234,564,208",14.45,14.50,14.40,14.45, 0.00,"2,688"
107/05/09,"17,940,142","259,357,319",14.45,14.55,14.40,14.50,+0.05,"3,232"
107/05/10,"15,413,092","223,477,960",14.55,14.55,14.45,14.45,-0.05,"3,095"
107/05/11,"20,957,747","305,038,020",14.55,14.60,14.50,14.60,+0.15,"3,134"
107/05/14,"13,485,289","196,705,234",14.60,14.65,14.55,14.60, 0.00,"3,014"
107/05/15,"16,469,312","240,233,578",14.60,14.60,14.55,14.60, 0.00,"3,580"
107/05/16,"15,052,344","220,629,324",14.65,14.70,14.60,14.70,+0.10,"3,473"
107/05/17,"14,903,305","220,064,067",14.80,14.80,14.70,14.70, 0.00,"2,867"
107/05/18,"13,997,601","206,884,451",14.75,14.80,14.70,14.80,+0.10,"3,703"
107/05/21,"13,418,601","199,184,843",14.85,14.90,14.80,14.90,+0.10,"3,356"
107/05/22,"8,999,167","133,840,458",14.90,14.90,14.85,14.85,-0.05,"2,784"
107/05/23,"7,907,866","117,102,465",14.80,14.85,14.80,14.80,-0.05,"2,109"
107/05/24,"9,290,409","137,582,500",14.80,14.85,14.75,14.85,+0.05,"2,356"
107/05/25,"8,929,867","132,314,115",14.80,14.85,14.75,14.80,-0.05,"2,527"
107/05/28,"9,423,521","139,458,112",14.80,14.85,14.75,14.80, 0.00,"2,396"
107/05/29,"7,746,392","114,413,011",14.80,14.80,14.75,14.75,-0.05,"2,185"
107/05/30,"24,265,218","354,295,192",14.65,14.70,14.55,14.55,-0.20,"5,810"
107/05/31,"36,667,224","539,322,822",14.75,14.75,14.60,14.75,+0.20,"4,299"
